matches_won,country_id,winner_id
78,ALG,213972
8,ALG,104467
6,ALG,208603
1,ALG,211447
1,ALG,236986
1,ALG,214867
1,ALG,215724
21,AND,223286
211,ARG,105487
184,ARG,106043
172,ARG,105948
163,ARG,106228
162,ARG,105643
159,ARG,206408
157,ARG,105819
134,ARG,105952
130,ARG,105477
125,ARG,105550
123,ARG,105911
119,ARG,202440
114,ARG,104122
113,ARG,206345
110,ARG,104919
109,ARG,206146
109,ARG,106044
94,ARG,105223
93,ARG,214604
83,ARG,106398
82,ARG,104547
81,ARG,211921
79,ARG,106006
74,ARG,106032
72,ARG,144869
70,ARG,202103
68,ARG,106057
63,ARG,126663
60,ARG,205842
55,ARG,104216
54,ARG,200116
50,ARG,214106
50,ARG,215140
48,ARG,206343
47,ARG,220446
46,ARG,214136
42,ARG,206410
42,ARG,206147
37,ARG,211920
36,ARG,207678
36,ARG,202104
35,ARG,122536
33,ARG,106164
32,ARG,202058
31,ARG,106380
31,ARG,111508
31,ARG,214605
28,ARG,144821
28,ARG,105120
28,ARG,106292
25,ARG,106162
22,ARG,105274
21,ARG,106352
19,ARG,207680
19,ARG,220699
18,ARG,214554
18,ARG,105338
13,ARG,126183
12,ARG,215989
12,ARG,105160
12,ARG,215158
10,ARG,205837
10,ARG,125825
10,ARG,215717
10,ARG,211442
9,ARG,215159
9,ARG,104338
8,ARG,206341
8,ARG,202413
8,ARG,126664
8,ARG,221333
7,ARG,210256
6,ARG,216572
6,ARG,216124
6,ARG,214105
5,ARG,202395
5,ARG,105607
5,ARG,222607
5,ARG,214090
5,ARG,221334
5,ARG,219909
4,ARG,106431
4,ARG,211601
4,ARG,211680
4,ARG,122571
4,ARG,215461
4,ARG,126273
4,ARG,122538
3,ARG,210365
3,ARG,221702
3,ARG,144973
3,ARG,206406
3,ARG,221331
3,ARG,106182
3,ARG,202105
3,ARG,203364
3,ARG,215991
2,ARG,210362
2,ARG,222688
2,ARG,220700
2,ARG,236966
2,ARG,222659
2,ARG,222300
2,ARG,105771
2,ARG,122441
2,ARG,224485
2,ARG,206405
1,ARG,236977
1,ARG,106301
1,ARG,202305
1,ARG,220802
1,ARG,133467
1,ARG,220926
1,ARG,221447
1,ARG,205938
1,ARG,219403
1,ARG,122672
1,ARG,236963
1,ARG,236965
1,ARG,220925
1,ARG,124206
1,ARG,200434
1,ARG,110762
1,ARG,122341
1,ARG,214137
1,ARG,208078
1,ARG,220318
1,ARG,214107
1,ARG,202106
1,ARG,222644
1,ARG,221414
1,ARG,220444
1,ARG,222649
1,ARG,220447
1,ARG,206157
1,ARG,220698
1,ARG,211835
49,ARM,206060
2,ARM,215544
1,ARM,215546
191,AUS,111442
157,AUS,200282
144,AUS,105357
134,AUS,105902
134,AUS,202458
128,AUS,106109
124,AUS,214191
122,AUS,200615
114,AUS,105051
110,AUS,117361
109,AUS,117360
105,AUS,211878
104,AUS,126845
104,AUS,206292
101,AUS,201542
101,AUS,215018
100,AUS,105441
99,AUS,201548
99,AUS,206362
93,AUS,126846
91,AUS,106401
91,AUS,106291
90,AUS,213666
90,AUS,206390
90,AUS,211880
88,AUS,104594
86,AUS,106186
86,AUS,206391
84,AUS,106331
81,AUS,201325
81,AUS,201611
75,AUS,105454
75,AUS,106071
72,AUS,215096
68,AUS,106423
66,AUS,205923
62,AUS,211941
60,AUS,106302
59,AUS,211881
56,AUS,204411
55,AUS,105974
54,AUS,105595
50,AUS,202539
46,AUS,106225
46,AUS,213599
42,AUS,215804
41,AUS,215811
41,AUS,216265
40,AUS,105032
39,AUS,214239
39,AUS,111451
37,AUS,105881
36,AUS,204412
34,AUS,110757
33,AUS,117358
33,AUS,203526
33,AUS,214040
31,AUS,106425
31,AUS,213541
25,AUS,117357
25,AUS,214045
24,AUS,105286
23,AUS,211751
22,AUS,206357
22,AUS,220735
21,AUS,134329
21,AUS,215440
20,AUS,126573
20,AUS,216090
19,AUS,215832
18,AUS,219940
17,AUS,105965
17,AUS,106093
17,AUS,201487
16,AUS,211879
16,AUS,215189
13,AUS,105591
12,AUS,111452
11,AUS,106254
11,AUS,221046
10,AUS,105429
9,AUS,110727
9,AUS,200039
9,AUS,122059
9,AUS,220904
9,AUS,124040
8,AUS,208013
8,AUS,124049
8,AUS,105050
8,AUS,216355
7,AUS,200003
7,AUS,111446
7,AUS,105765
7,AUS,216321
7,AUS,111360
7,AUS,201370
6,AUS,105525
6,AUS,117359
